Index	Label
1143	3
1144	7
1145	9
1146	7
1147	5
1148	0
1149	7
1150	8
1151	1
1152	0
1153	4
1154	8
1155	8
1156	3
1157	6
1158	1
1159	5
1160	6
1161	3
1162	6
1163	4
1164	5
1165	9
1166	9
1167	7
1168	0
1169	5
1170	7
1171	3
1172	2
1173	1
1174	8
1175	1
1176	8
1177	3
1178	8
1179	7
1180	4
1181	4
1182	3
1183	2
1184	9
1185	8
1186	4
1187	4
1188	6
1189	1
1190	5
1191	0
1192	9
1193	1
1194	5
1195	4
1196	9
1197	4
1198	4
1199	1
1200	6
1201	4
1202	7
1203	7
1204	3
1205	5
1206	6
1207	0
1208	5
1209	4
1210	3
1211	7
1212	4
1213	9
1214	8
1215	5
1216	5
1217	2
1218	8
1219	1
1220	1
1221	0
1222	7
1223	3
1224	3
1225	9
1226	4
1227	1
1228	5
1229	2
1230	4
1231	5
1232	8
1233	6
1234	3
1235	0
1236	6
1237	9
1238	9
1239	3
1240	7
1241	2
1242	5
1243	8
1244	9
1245	9
1246	8
1247	0
1248	6
1249	3
1250	0
1251	4
1252	9
1253	9
1254	1
1255	1
1256	6
1257	6
1258	5
1259	9
1260	4
1261	6
1262	4
1263	1
1264	1
1265	7
1266	5
1267	9
1268	1
1269	3
1270	0
1271	8
1272	3
1273	9
1274	8
1275	0
1276	6
1277	6
1278	0
1279	8
1280	0
1281	9
1282	2
1283	4
1284	2
1285	3
1286	0
1287	0
1288	4
1289	6
1290	6
1291	6
1292	6
1293	5
1294	4
1295	1
1296	5
1297	1
1298	7
1299	9
1300	9
1301	2
1302	8
1303	4
1304	8
1305	5
1306	8
1307	8
1308	5
1309	9
1310	1
1311	2
1312	9
1313	7
1314	5
1315	8
1316	7
1317	7
1318	0
1319	1
1320	7
1321	8
1322	3
1323	9
1324	5
1325	2
1326	7
1327	2
1328	8
1329	1
1330	8
1331	2
1332	6
1333	8
1334	4
1335	4
1336	7
1337	1
1338	5
1339	5
1340	5
1341	7
1342	7
1343	2
1344	5
1345	6
1346	8
1347	0
1348	3
1349	6
1350	5
1351	3
1352	9
1353	6
1354	3
1355	6
1356	3
1357	5
1358	2
1359	4
1360	4
1361	5
1362	9
1363	6
1364	1
1365	9
1366	2
1367	2
1368	7
1369	0
1370	7
1371	0
1372	2
1373	2
1374	8
1375	2
1376	9
1377	9
1378	1
1379	1
1380	6
1381	7
1382	5
1383	0
1384	7
1385	3
1386	1
1387	1
1388	7
1389	5
1390	3
1391	5
1392	9
1393	6
1394	2
1395	5
1396	9
1397	5
1398	5
1399	4
1400	9
1401	2
1402	2
1403	1
1404	3
1405	1
1406	4
1407	9
1408	6
1409	0
1410	7
1411	2
1412	7
1413	2
1414	0
1415	6
1416	6
1417	8
1418	2
1419	3
1420	9
1421	6
1422	4
1423	4
1424	6
1425	9
1426	2
1427	6
1428	9
1429	8
1430	3
1431	2
1432	4
1433	0
1434	5
1435	0
1436	6
1437	4
1438	2
1439	4
1440	7
1441	5
1442	1
1443	8
1444	3
1445	9
1446	6
1447	4
1448	9
1449	1
1450	2
1451	0
1452	2
1453	3
1454	9
1455	7
1456	4
1457	8
1458	7
1459	5
1460	1
1461	2
1462	1
1463	6
1464	0
1465	8
1466	0
1467	7
1468	0
1469	2
1470	9
1471	1
1472	1
1473	3
1474	7
1475	1
1476	6
1477	0
1478	5
1479	2
1480	6
1481	1
1482	9
1483	1
1484	8
1485	4
1486	7
1487	6
1488	6
1489	9
1490	8
1491	2
1492	9
1493	7
1494	8
1495	1
1496	8
1497	3
1498	7
1499	4
1500	6
1501	0
1502	4
1503	5
1504	9
1505	4
1506	9
1507	2
1508	4
1509	0
1510	7
1511	9
1512	0
1513	7
1514	8
1515	9
1516	8
1517	2
1518	0
1519	8
1520	4
1521	7
1522	4
1523	4
1524	1
1525	9
1526	0
1527	0
1528	9
1529	0
1530	7
1531	9
1532	7
1533	1
1534	9
1535	8
1536	6
1537	2
1538	3
1539	5
1540	8
1541	1
1542	9
1543	2
1544	2
1545	8
1546	4
1547	7
1548	9
1549	2
1550	4
1551	7
1552	2
1553	7
1554	6
1555	0
1556	6
1557	9
1558	1
1559	5
1560	5
1561	1
1562	3
1563	2
1564	5
1565	0
1566	5
1567	3
1568	9
1569	7
1570	4
1571	1
1572	1
1573	0
1574	0
1575	6
1576	4
1577	8
1578	2
1579	0
1580	4
1581	3
1582	1
1583	3
1584	2
1585	0
1586	8
1587	3
1588	1
1589	0
1590	6
1591	3
1592	1
1593	2
1594	7
1595	8
1596	1
1597	5
1598	7
1599	8
